,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_column
174605,YEM,Asia,Yemen,28-08-20,1943.0,10.0,5.286,563.0,1.0,3.0,63.724,0.328,0.173,18.465,0.033,0.098,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,,AsiaYemen
122796,PLW,Oceania,Palau,06-09-21,2.0,0.0,0.0,,,,110.047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,,,,,OceaniaPalau
135738,SPM,North America,Saint Pierre and Miquelon,08-12-21,91.0,0.0,1.0,,,,15768.498,0.0,173.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5771.0,,,,,,,,,,,,,81.07,,,,,,North AmericaSaint Pierre and Miquelon
15855,BEL,Europe,Belgium,16-04-21,943213.0,3904.0,3613.714,23681.0,45.0,41.571,81085.447,335.616,310.661,2035.791,3.869,3.574,0.95,923.0,79.348,3015.0,259.191,,,1654.0,142.19,11974493.0,44387.0,1029.414,3.816,40305.0,3.465,0.099,10.1,tests performed,3090163.0,2329817.0,763024.0,,94567.0,71974.0,26.57,20.03,6.56,,6187.0,58898.0,0.506,75.93,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,,EuropeBelgium
115339,NIC,North America,Nicaragua,22-02-22,18004.0,109.0,15.571,223.0,0.0,0.143,2686.21,16.263,2.323,33.272,0.0,0.021,1.35,,,,,,,,,,,,,,,,,,,,,,,23507.0,,,,,3507.0,6956.0,0.104,8.33,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,,North AmericaNicaragua
125989,PRY,South America,Paraguay,19-02-22,634780.0,1047.0,2010.286,18191.0,44.0,49.571,87924.039,145.021,278.447,2519.654,6.094,6.866,0.68,,,,,,,,,2528653.0,3838.0,350.246,0.532,5251.0,0.727,0.3828,2.6,tests performed,,,,,,16941.0,,,,,2347.0,5805.0,0.08,46.3,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,,,,,South AmericaParaguay
50158,SWZ,Africa,Eswatini,04-11-20,5955.0,13.0,9.857,117.0,0.0,0.143,5079.459,11.089,8.408,99.798,0.0,0.122,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,,AfricaEswatini
66136,GGY,Europe,Guernsey,29-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,,,,5127.0,311.0,0.491,,63385.0,,,,,,,,,,,,,,,,,,,EuropeGuernsey
79998,ITA,Europe,Italy,23-03-21,3419616.0,18739.0,22978.0,105879.0,551.0,411.143,56646.667,310.416,380.635,1753.908,9.127,6.811,1.02,3546.0,58.74,31974.0,529.656,1836.0,30.414,12841.0,212.714,47395288.0,335189.0,785.113,5.552,317656.0,5.262,0.0723,13.8,tests performed,8485489.0,5804593.0,2681068.0,,227198.0,176940.0,14.06,9.62,4.44,,2931.0,107607.0,0.178,79.63,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,,EuropeItaly
99688,MLI,Africa,Mali,19-12-20,6164.0,44.0,63.286,220.0,5.0,4.429,295.554,2.11,3.034,10.549,0.24,0.212,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,,AfricaMali
